file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/MOE_4de8f47896dc85fb058d85e8d57122fa479c88f0/client/src/main/java/com/google/devtools/moe/client/testing/DummyRevisionHistory.java,com.google.devtools.moe.client.testing.DummyRevisionHistory$Builder,syncRunningIndex/0,false,188,1,1,1,0,1,4,5,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/MOE_4de8f47896dc85fb058d85e8d57122fa479c88f0/client/src/main/java/com/google/devtools/moe/client/testing/DummyRevisionHistory.java,com.google.devtools.moe.client.testing.DummyRevisionHistory$Builder,internalBuild/0,false,243,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1024,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/MOE_4de8f47896dc85fb058d85e8d57122fa479c88f0/client/src/main/java/com/google/devtools/moe/client/testing/DummyRevisionHistory.java,com.google.devtools.moe.client.testing.DummyRevisionHistory$Builder,"add/5[java.lang.String,java.lang.String,java.lang.String,com.google.devtools.moe.client.testing.DateTime,java.lang.String[]]",false,211,3,5,3,2,3,3,12,1,3,5,3,1,3,1,1,0,0,1,1,4,0,2,0,0,0,30,17,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/MOE_4de8f47896dc85fb058d85e8d57122fa479c88f0/client/src/main/java/com/google/devtools/moe/client/testing/DummyRevisionHistory.java,com.google.devtools.moe.client.testing.DummyRevisionHistory$Builder,commitsBuilder/0,false,204,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1024,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/MOE_4de8f47896dc85fb058d85e8d57122fa479c88f0/client/src/main/java/com/google/devtools/moe/client/testing/DummyRevisionHistory.java,com.google.devtools.moe.client.testing.DummyRevisionHistory$Builder,addAll/1[java.lang.Iterable<com.google.devtools.moe.client.testing.DummyCommit>],false,230,2,3,2,1,3,4,9,1,0,1,4,1,1,1,1,0,0,2,0,0,1,2,0,0,0,18,17,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/MOE_4de8f47896dc85fb058d85e8d57122fa479c88f0/client/src/main/java/com/google/devtools/moe/client/testing/DummyRevisionHistory.java,com.google.devtools.moe.client.testing.DummyRevisionHistory$Builder,add/1[com.google.devtools.moe.client.testing.DummyCommit[]],false,225,2,5,4,1,1,2,4,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/MOE_4de8f47896dc85fb058d85e8d57122fa479c88f0/client/src/main/java/com/google/devtools/moe/client/testing/DummyRevisionHistory.java,com.google.devtools.moe.client.testing.DummyRevisionHistory$Builder,permissive/1[boolean],false,198,1,9,9,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/MOE_4de8f47896dc85fb058d85e8d57122fa479c88f0/client/src/main/java/com/google/devtools/moe/client/testing/DummyRevisionHistory.java,com.google.devtools.moe.client.testing.DummyRevisionHistory$Builder,indexedCommitsBuilder/0,false,200,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1024,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/MOE_4de8f47896dc85fb058d85e8d57122fa479c88f0/client/src/main/java/com/google/devtools/moe/client/testing/DummyRevisionHistory.java,com.google.devtools.moe.client.testing.DummyRevisionHistory$Builder,name/1[java.lang.String],false,196,1,14,14,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/MOE_4de8f47896dc85fb058d85e8d57122fa479c88f0/client/src/main/java/com/google/devtools/moe/client/testing/DummyRevisionHistory.java,com.google.devtools.moe.client.testing.DummyRevisionHistory$Builder,"indexedCommits/1[com.google.devtools.moe.client.testing.ImmutableMap<java.lang.String,com.google.devtools.moe.client.testing.DummyCommit>]",false,202,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1024,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/MOE_4de8f47896dc85fb058d85e8d57122fa479c88f0/client/src/main/java/com/google/devtools/moe/client/testing/DummyRevisionHistory.java,com.google.devtools.moe.client.testing.DummyRevisionHistory$Builder,build/0,false,245,3,11,10,1,2,6,8,1,1,0,6,2,1,1,0,0,0,0,0,1,0,1,0,0,0,13,1,0,false
