file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook/src/test/java/com/facebook/appevents/AppEventsLoggerTest.java,com.facebook.appevents.AppEventsLoggerTest,class,16,16,0,16,10,2,0,48,45,0.9,0.0,0.0,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,30,86,0,0,0,0,1,35,5,12,0,12,0,0,0,0,66,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook-core/src/main/java/com/facebook/appevents/codeless/internal/PathComponent.java,com.facebook.appevents.codeless.internal.PathComponent,class,1,4,3,1,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,16,8,8,8,0,0,16,0,0,36,0,0,0,0,0,8,1,16,0,16,0,0,1,0,42,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook-common/src/main/java/com/facebook/share/model/ShareOpenGraphValueContainer.java,com.facebook.share.model.ShareOpenGraphValueContainer$Builder,innerclass,12,12,0,12,16,1,0,14,0,0.0,1.0,1.0,15,0,15,0,0,0,15,0,0,0,1,0,0,1,0,0,0,0,0,65,15,0,1,0,0,0,0,1,0,1,1,0,0,0,38,1033,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook-common/src/main/java/com/facebook/share/model/SharePhoto.java,com.facebook.share.model.SharePhoto$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook-common/src/main/java/com/facebook/share/internal/LikeActionController.java,com.facebook.share.internal.LikeActionController$Anonymous10$Anonymous11,anonymous,6,6,0,6,3,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,2,0,0,1,0,0,0,0,1,0,0,0,13,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook-core/src/main/java/com/facebook/AccessTokenManager.java,com.facebook.AccessTokenManager$RefreshResult,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook-share/src/main/java/com/facebook/share/widget/ShareButton.java,com.facebook.share.widget.ShareButton,class,7,7,0,7,8,3,0,5,15,0.0,0.0,0.0,6,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,2,0,0,0,2,3,0,1,1,0,0,0,33,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook-login/src/main/java/com/facebook/login/widget/LoginButton.java,com.facebook.login.widget.LoginButton,class,27,39,12,27,68,3,1,75,734,0.9300699,0.12517782,0.13655761,44,0,24,6,10,4,38,0,0,0,13,1,0,13,0,0,1,0,11,415,11,0,12,1,3,1,6,46,3,29,4,2,3,0,322,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook/src/test/java/com/facebook/login/LoginClientTest.java,com.facebook.login.LoginClientTest,class,16,17,1,16,5,2,0,34,2,0.70000005,0.4,0.6,5,0,4,0,1,0,5,0,0,0,6,5,0,6,0,0,5,0,7,64,1,0,0,0,0,19,0,21,0,21,0,0,0,0,67,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/samples/SwitchUserSample/src/com/example/switchuser/SettingsFragment.java,com.example.switchuser.SettingsFragment$SlotManager,innerclass,6,6,0,6,16,1,0,11,1,0.6734694,0.8333333,1.0,7,0,4,3,0,0,4,0,0,0,7,4,0,6,0,1,4,0,1,57,5,1,6,0,1,4,5,12,1,10,1,0,0,0,54,2,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook-core/src/main/java/com/facebook/appevents/codeless/internal/EventBinding.java,com.facebook.appevents.codeless.internal.EventBinding,class,7,14,7,7,19,1,0,15,28,0.75,0.13636364,0.6818182,12,2,12,0,0,0,12,0,0,0,9,0,0,9,0,0,9,0,5,92,11,3,2,1,0,8,4,30,0,30,2,0,2,0,59,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook/src/test/java/com/facebook/AccessTokenManagerTest.java,com.facebook.AccessTokenManagerTest,class,14,15,1,14,17,2,0,33,39,0.8592593,0.36363637,0.54545456,15,0,12,3,0,0,12,0,0,0,9,0,0,9,0,0,7,0,3,113,3,0,0,2,0,8,13,34,0,34,1,1,0,0,90,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook/src/test/java/com/facebook/share/model/SharePhotoBuilderTest.java,com.facebook.share.model.SharePhotoBuilderTest,class,6,6,0,6,1,4,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook-core/src/main/java/com/facebook/internal/FileLruCache.java,com.facebook.internal.FileLruCache$StreamHeader,innerclass,4,4,0,4,9,1,0,12,0,0.0,1.0,1.0,2,2,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,4,53,5,2,2,1,4,4,15,17,6,14,2,0,0,0,43,26,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/facebook-common/src/main/java/com/facebook/share/internal/LikeActionController.java,com.facebook.share.internal.LikeActionController$Anonymous7$Anonymous8,anonymous,5,5,0,5,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,1,0,0,0,0,3,0,0,1,0,0,0,32,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/facebook-android-sdk_81ca34a2a0f7ee391f90c6051c5a22e5bc8663c2/samples/Scrumptious/src/com/example/scrumptious/MainActivity.java,com.example.scrumptious.MainActivity,class,13,20,7,13,16,2,0,22,16,0.77777773,0.32142857,1.0,9,0,7,1,1,0,8,0,0,0,10,5,0,10,0,0,5,0,2,107,0,2,2,0,0,1,6,24,1,17,2,2,0,0,71,1,0
