file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",TEST_SELECTION_TYPE,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",TEST_FILTER,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",PROJECT_BUILD,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",MATCHING_TESTS,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",TEST_CLASS,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",PROJECT_RESTORE,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",SELECTED_TEST,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",CONFIGURATION,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",FRAMEWORK,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",ALL_TESTS,1
